Aid,Best seed,Average,Training set results,,,,,test set results,,,,,Validation set results,,,
,,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc
504558,Seed 1,0.501468,0.915312,,,,,0.525,0.210526,0.129156,0.117647,,0.922222,,,
504749,Seed 3,0.611111,0.862791,,,,,0.55,0.615385,0.642262,0.555556,,0.833333,,,
504834,Seed 2,0.722702,0.858728,,,,,0.7,0.666667,0.193763,0.73913,,0.981481,,,
504847,Seed 3,0.813654,0.792457,,,,,0.816038,0,0.420734,0.929825,,0.803571,,,
540276,Seed 3,0.761905,0.753367,,,,,1,0.444444,1,0.818182,,0.777778,,,
588405,Seed 2,0.743542,0.813337,,,,,0.735294,0,0.065882,0.944444,,0.862903,,,
588850,Seed 2,0.776874,0.994467,,,,,0.8125,0.285714,0.159743,0.888889,,0.84,,,
588855,Seed 0,0.790319,0.98597,,,,,0.901235,0.333333,0.341667,0.866667,,1,,,
602281,Seed 3,0.934204,0.849429,,,,,0.942857,1,1,1,,0.697917,,,
624296,Seed 3,0.711695,0.901905,,,,,0.741379,0.4,0.121491,0.870968,,0.770186,,,
624297,Seed 4,0.826317,0.732902,,,,,0.822581,0,0.051467,0.848485,,0.7,,,
624352,Seed 3,0.841032,0.893794,,,,,0.840909,0.571429,0.263189,0.891892,,0.885417,,,
651633,Seed 4,0.744281,0.942815,,,,,0.708333,0,0.055556,0.92,,0.936508,,,
651634,Seed 4,0.858805,0.988889,,,,,0.833333,0,0.071429,0.96,,0.9375,,,
651635,Seed 0,0.403195,0.633509,,,,,0.40625,0.5,0.439286,0.942857,,0.854839,,,
651661,Seed 1,0.943218,0.903571,,,,,0.966667,0.5,0.902778,0.939394,,0.908046,,,
651741,Seed 2,0.566667,0.482353,,,,,0.666667,,,,,0.666667,,,
651820,Seed 3,0.688034,0.500728,,,,,0.641026,0,0.403066,0.896552,,0.946667,,,
652054,Seed 3,0.692713,0.935932,,,,,0.508065,0,0.545246,0.885714,,0.984375,,,
652154,Seed 4,0.718681,0.861727,,,,,0.727273,0.4,1,0.92,,0.644444,,,
686971,Seed 4,0.865502,0.958283,,,,,0.797619,0.8,0.714052,0.903226,,0.804348,,,
686979,Seed 0,0.793393,0.799453,,,,,0.808594,0.733333,0.845765,0.833333,,0.814141,,,
720532,Seed 0,0.821481,0.954741,,,,,0.758621,0,0.524462,0.935484,,0.856,,,
720533,Seed 4,0.668227,0.972656,,,,,0.678571,0.571429,0.693907,0.935484,,0.798077,,,
720552,Seed 3,0.898196,0.901515,,,,,0.909091,0.5,0.6625,0.916667,,0.833333,,,
720579,Seed 4,0.767485,0.97311,,,,,0.7375,0.666667,0.545037,0.97619,,0.954955,,,
720596,Seed 2,0.646795,0.989823,,,,,0.951613,0.108108,0.528134,0.942857,,0.975309,,,
720637,Seed 3,0.867582,0.801897,,,,,0.875,0.285714,0.691702,0.818182,,0.842105,,,
720692,Seed 3,0.776667,0.915446,,,,,0.8,0.285714,0.341288,0.789474,,0.831169,,,
743012,Seed 4,0.782088,0.818472,,,,,0.785714,0.466667,0.784637,0.826087,,0.647059,,,
743014,Seed 1,0.747987,0.904376,,,,,0.765152,0.6,0.774577,0.608696,,0.905983,,,
743015,Seed 2,0.80206,0.834298,,,,,0.816667,0.875,0.956439,0.913043,,0.914286,,,
743035,Seed 3,0.599845,0.924964,,,,,0.583333,0,0.090545,0.8,,1,,,
743036,Seed 3,0.908553,0.937287,,,,,0.95,0,0.791667,0.909091,,0.970588,,,
743040,Seed 1,0.840469,0.900552,,,,,0.8,0,1,1,,0.916667,,,
743042,Seed 2,0.683753,0.96648,,,,,0.651515,0,0.260684,0.88,,0.825,,,
743063,Seed 0,0.830683,0.982251,,,,,0.824561,0.5,0.614815,0.863636,,0.955882,,,
743064,Seed 3,0.802666,0.89396,,,,,0.789474,0.4,0.771429,0.826087,,0.776471,,,
743065,Seed 1,0.748656,0.871578,,,,,0.742188,0.571429,0.708207,0.666667,,0.828947,,,
743075,Seed 3,0.816991,0.856429,,,,,0.785714,0.285714,0.437179,0.84,,1,,,
743079,Seed 3,0.686176,0.824879,,,,,0.95,0,0.165205,0.909091,,1,,,
743080,Seed 2,0.695067,0.99521,,,,,0.684211,0.333333,0.33125,0.826087,,1,,,
743194,Seed 3,0.925568,0.87568,,,,,0.921569,0.5,0.711111,0.85,,0.75,,,
743219,Seed 1,0.506453,0.833067,,,,,0.446154,0.285714,0.242033,0.722222,,0.75,,,
743224,Seed 4,0.464108,0.822464,,,,,0.5,0.333333,0.570455,0.9,,0.777778,,,
743279,Seed 2,0.771673,0.994376,,,,,0.793333,0.5,0.727997,0.885714,,0.952381,,,
1159521,Seed 3,0.808271,0.852374,,,,,0.807018,0,0.249206,0.863636,,0.833333,,,
1159524,Seed 4,0.858747,0.767879,,,,,0.87,0.333333,0.450293,0.888889,,0.794872,,,
1159529,Seed 3,0.680526,0.960861,,,,,0.605263,0,0.110417,0.904762,,0.777778,,,
1159555,Seed 3,0.505719,0.911616,,,,,0.558824,0,0.092857,0.894737,,0.875,,,
1159606,Seed 4,0.820401,0.84932,,,,,0.725,0.5,0.297228,0.864865,,0.96875,,,
1224839,Seed 3,0.46381,0.984817,,,,,0.7,0,0.125817,0.909091,,1,,,
1224841,Seed 1,0.611415,0.953102,,,,,0.625,0,0.079825,0.863636,,0.838235,,,
1224844,Seed 3,0.679799,0.858446,,,,,0.8,0.333333,0.181548,0.863636,,0.894737,,,
1224847,Seed 0,0.33869,0.975417,,,,,0.714286,0.166667,0.540205,0.090909,,0.962963,,,
1224848,Seed 3,0.78924,0.970115,,,,,0.85,0.545455,0.341667,0.869565,,0.838235,,,
1224871,Seed 0,0.649317,0.890276,,,,,0.815789,0.32,0.30817,0.809524,,0.684211,,,
1224874,Seed 2,0.812105,0.9926,,,,,0.9,0,0.291667,0.818182,,0.823529,,,
1224879,Seed 3,0.472222,0.95266,,,,,0.666667,0.333333,0.215049,0.809524,,1,,,
1224881,Seed 2,0.485476,0.93098,,,,,0.45,0,0.05,0.954545,,0.842105,,,
1224883,Seed 1,0.262202,0.814286,,,,,0.45,0,0.104984,0.909091,,0.59375,,,
1224886,Seed 4,0.779035,0.759083,,,,,1,0.5,1,0.954545,,0.947368,,,
1224889,Seed 3,0.779167,0.958672,,,,,0.816667,0,0.204365,0.869565,,0.981481,,,
1259243,Seed 1,0.709795,0.995238,,,,,0.775,0.4,0.499992,0.227273,,0.962963,,,
1259248,Seed 3,0.705556,0.83871,,,,,0.722222,0.25,0.27619,0.727273,,0.941176,,,
1259369,Seed 3,0.574842,0.956901,,,,,0.46875,0,0.401508,0.8,,0.716667,,,
1259380,Seed 1,0.680163,0.948936,,,,,0.676471,0.571429,0.379924,0.809524,,1,,,
