TerpenoidsID,Molecular Formula,Molecular Weight,Smiles
TPCN00100,C21H22N2O3,350.418,CC(=O)OC1C2C3CC4C5=Nc6ccccc6C51CC2N4C(C)C3C=O
TPCN00101,C16H26O8,346.376,CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CC=C(C(=O)O)CC1
TPCN00102,C28H33N2O9+,541.577,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1Cc1c2[nH]c3ccccc3c2cc[n+]1C
TPCN00103,C20H20N2O4,352.39,CC=C1C2CC3C4=Nc5ccccc5C4(C2C(=O)OC)C2C(O)ON3C12
TPCN00104,C11H19N3O2,225.292,CC(C)=CCCC(C(=O)O)C1CN=C(N)N1
TPCN00105,C20H24N2O3,340.423,COC(=O)C1=C2Nc3ccccc3C23CCN2CC(C(C)O)C1CC23
TPCN00106,C46H74O21,963.077,CC(=O)OC1C(C)OC(OCC=C(C)CCC=C(C)COC2OC(C)C(O)C(O)C2O)C(O)C1OC1OC(C)C(O)C(OC2OC(C)C(O)C(O)C2O)C1OC(=O)C(C)=CCCC(C)=CCO
TPCN00107,C16H24O7,328.361,Cc1cc(O)c(C(C)C)cc1OC1OC(CO)C(O)C(O)C1O
TPCN00108,C16H24O10,376.358,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CCO
TPCN00109,C25H38O14,562.565,C=C(COC1OC(COC(=O)CC(=O)O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C1CC=C(C)CC1
TPCN00110,C26H32N2O9,516.547,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2c1[nH]c1ccccc21
TPCN00111,C15H22O9,346.332,OCC1OC(OC2OC=CC3CC4OC4(CO)C32)C(O)C(O)C1O
TPCN00112,C20H20N2O2,320.392,O=C1C2CC34CCCN5C(=O)C1C1(c6ccccc6NC21CC3)C54
TPCN00113,C16H24O10,376.358,CC12CC3(O)OC(O1)C1(CO)C3CC21OC1OC(CO)C(O)C(O)C1O
TPCN00114,C16H30O8,350.408,C=CC(C)(O)CCC(O)C(C)(C)OC1OC(CO)C(O)C(O)C1O
TPCN00115,C28H34N2O11,574.583,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NC(C(=O)O)Cc2c1[nH]c1ccccc21
TPCN00116,C28H35N2O9+,543.593,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1=[N+](C)CCc2c1[nH]c1ccccc21
TPCN00117,C18H16O8,360.318,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O
TPCN00118,C16H28O6,316.394,C=CC(C)(C)C(C=C(C)C)OC1OC(CO)C(O)C(O)C1O
TPCN00119,C21H24N2O6,400.431,COC(=O)C1=COC(C)C2CN(CCC3(O)C(=O)Nc4ccccc43)C(=O)CC12
TPCN00120,C16H24O10,376.358,CC1C(O)CC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C21
TPCN00121,C22H26O4,354.446,CC1(C)C2CCC1(C)C(OC(=O)C=CC=Cc1ccc3c(c1)OCO3)C2
